Depth, A	Simulated curve 4	Depth, A	Simulated curve 2	Depth, A	Simulated curve 3	Depth, A	Simulated curve 1
--	--	-5,69691	1,14888E-117	--	--	--	--
--	--	-5,89085	3,51119E-119	--	--	--	--
--	--	-6,08481	1,51069E-120	--	--	--	--
--	--	-6,27875	3,27467E-121	--	--	--	--
--	--	-6,47269	2,57745E-123	--	--	--	--
--	--	-6,66663	1,1857E-123	--	--	--	--
--	--	-6,86057	2,80481E-127	--	--	--	--
--	--	-7,05451	1,65059E-127	--	--	--	--
--	--	-7,24846	4,9637E-128	--	--	--	--
--	--	-7,44241	1,64793E-131	--	--	--	--
--	--	-7,63635	8,27293E-132	--	--	--	--
--	--	-7,83029	6,65892E-134	--	--	--	--
--	--	-8,02423	7,93244E-136	--	--	--	--
--	--	-8,21818	2,93133E-136	--	--	--	--
--	--	-8,41212	5,65478E-140	--	--	--	--
--	--	-8,60606	3,04192E-140	--	--	--	--
--	--	-8,80001	4,29058E-141	--	--	--	--
--	--	-8,99395	2,03876E-144	--	--	--	--
--	--	-9,18789	8,68595E-145	--	--	--	--
--	--	-9,38184	1,04236E-148	--	--	--	--
--	--	-9,57578	5,93129E-149	--	--	--	--
--	--	-9,76972	1,43897E-149	--	--	--	--
--	--	-9,96366	2,80647E-153	--	--	--	--
--	--	-9,38184	1,32814E-153	--	--	--	--
--	--	-9,57578	1,0328E-157	--	--	--	--
--	--	-9,76972	6,15755E-158	--	--	--	--
--	--	-9,96366	2,80647E-153	--	--	--	--
--	--	--	1,32814E-153	--	--	--	--
--	--	--	1,0328E-157	--	--	--	--
--	--	--	6,15755E-158	--	--	--	--
--	--	--	--	--	--	--	--
--	--	--	--	--	--	--	--
--	--	--	--	--	--	--	--
--	--	--	--	--	--	--	--
--	--	--	--	--	--	--	--
--	--	--	--	--	--	--	--
--	--	--	--	--	--	--	--
--	--	--	--	--	--	--	--
--	--	--	--	--	--	--	--
--	--	--	--	--	--	--	--
--	--	--	--	--	--	--	--
--	--	--	--	--	--	--	--
--	--	--	--	--	--	--	--
--	--	--	--	--	--	--	--
--	--	--	--	--	--	--	--
--	--	--	--	--	--	--	--
--	--	--	--	--	--	--	--
--	--	--	--	--	--	--	--
--	--	--	--	--	--	--	--
--	--	--	--	--	--	--	--
--	--	--	--	--	--	--	--
--	--	--	--	--	--	--	--
--	--	--	--	--	--	--	--
--	--	--	--	--	--	--	--
--	--	--	--	--	--	--	--
--	--	--	--	--	--	--	--
--	--	--	--	--	--	--	--
--	--	--	--	--	--	--	--
--	--	--	--	--	--	--	--
--	--	--	--	--	--	--	--
--	--	--	--	--	--	--	--
--	--	--	--	--	--	--	--
--	--	--	--	--	--	--	--
--	--	--	--	--	--	--	--
--	--	--	--	--	--	--	--
--	--	--	--	--	--	--	--
--	--	--	--	--	--	--	--
--	--	--	--	--	--	--	--
--	--	--	--	--	--	--	--
--	--	--	--	--	--	--	--
--	--	--	--	--	--	--	--
--	--	--	--	--	--	--	--
--	--	--	--	--	--	--	--
--	--	--	--	--	--	--	--
--	--	--	--	--	--	--	--
--	--	--	--	--	--	--	--
--	--	--	--	--	--	--	--
--	--	--	--	--	--	--	--
--	--	--	--	--	--	--	--
--	--	--	--	--	--	--	--
--	--	--	--	--	--	--	--
--	--	--	--	--	--	--	--
--	--	--	--	--	--	--	--
--	--	--	--	--	--	--	--
--	--	--	--	--	--	--	--
--	--	--	--	--	--	--	--
--	--	--	--	--	--	--	--
--	--	--	--	--	--	--	--
--	--	--	--	--	--	--	--
--	--	--	--	--	--	--	--
--	--	--	--	--	--	--	--
--	--	--	--	--	--	--	--
--	--	--	--	--	--	--	--
--	--	--	--	--	--	--	--
--	--	--	--	--	--	--	--
--	--	--	--	--	--	--	--
--	--	--	--	--	--	--	--
--	--	--	--	--	--	--	--
--	--	--	--	--	--	--	--
--	--	--	--	--	--	--	--
--	--	--	--	--	--	--	--
