AlphA. deg.	Ni Ka XRF, A.u. curve 2	AlphA. deg.	Total external reflection, A.u.	AlphA. deg.	Ni Ka XRF, A.u. curve 4	AlphA. deg.	Exponential fitting curve 3	AlphA. deg.	Exponential fitting curve 5
--	--	--	--	--	--	0,01366	0,03821	0,0116	0,00549
--	--	--	--	--	--	0,01374	0,03848	0,01169	0,00555
--	--	--	--	--	--	0,01374	0,0385	0,01179	0,00561
--	--	--	--	--	--	0,01383	0,03879	0,01188	0,00567
--	--	--	--	--	--	0,01391	0,03907	0,01198	0,00573
--	--	--	--	--	--	0,014	0,03936	0,01207	0,00579
--	--	--	--	--	--	0,01408	0,03965	0,01217	0,00585
--	--	--	--	--	--	0,01417	0,03994	0,01226	0,00591
--	--	--	--	--	--	0,01425	0,04023	0,01235	0,00598
--	--	--	--	--	--	0,01433	0,04052	0,01245	0,00604
--	--	--	--	--	--	0,01442	0,04082	0,01254	0,0061
--	--	--	--	--	--	0,0145	0,04111	0,01264	0,00616
--	--	--	--	--	--	0,01459	0,0414	0,01273	0,00623
--	--	--	--	--	--	0,01467	0,0417	0,01283	0,00629
--	--	--	--	--	--	0,01475	0,04199	0,01292	0,00636
--	--	--	--	--	--	0,01484	0,04229	0,01302	0,00642
--	--	--	--	--	--	0,01492	0,04259	0,01311	0,00648
--	--	--	--	--	--	0,01501	0,04288	0,01321	0,00655
--	--	--	--	--	--	0,01509	0,04318	0,0133	0,00661
--	--	--	--	--	--	0,01517	0,04348	0,0134	0,00668
--	--	--	--	--	--	0,01526	0,04378	0,01349	0,00674
--	--	--	--	--	--	0,01534	0,04408	0,01358	0,00681
--	--	--	--	--	--	0,01543	0,04438	0,01368	0,00688
--	--	--	--	--	--	0,0155	0,04465	0,01377	0,00694
--	--	--	--	--	--	0,01551	0,04469	0,01387	0,00701
--	--	--	--	--	--	0,01559	0,04499	0,01396	0,00708
--	--	--	--	--	--	0,01568	0,04529	0,014	0,00711
--	--	--	--	--	--	0,01576	0,0456	0,01406	0,00715
--	--	--	--	--	--	0,01585	0,0459	0,01415	0,00721
--	--	--	--	--	--	0,01593	0,04621	0,01425	0,00728
--	--	--	--	--	--	0,01602	0,04651	0,01434	0,00735
--	--	--	--	--	--	0,0161	0,04682	0,01444	0,00742
--	--	--	--	--	--	0,01618	0,04713	0,01453	0,00749
--	--	--	--	--	--	0,01627	0,04744	0,01462	0,00756
--	--	--	--	--	--	0,01635	0,04775	0,01472	0,00763
--	--	--	--	--	--	0,01644	0,04806	0,01481	0,0077
--	--	--	--	--	--	0,01652	0,04837	0,01491	0,00777
--	--	--	--	--	--	0,0166	0,04868	0,015	0,00784
--	--	--	--	--	--	0,01669	0,04899	0,0151	0,00791
--	--	--	--	--	--	0,01677	0,04931	0,01519	0,00799
--	--	--	--	--	--	0,01686	0,04962	0,01529	0,00806
--	--	--	--	--	--	0,01694	0,04994	0,01538	0,00813
--	--	--	--	--	--	0,01702	0,05025	0,01548	0,0082
--	--	--	--	--	--	0,01711	0,05057	0,01557	0,00828
--	--	--	--	--	--	0,01719	0,05089	0,01567	0,00835
--	--	--	--	--	--	0,01724	0,05107	0,01576	0,00842
--	--	--	--	--	--	0,01728	0,05121	0,01585	0,0085
--	--	--	--	--	--	0,01736	0,05152	0,01595	0,00857
--	--	--	--	--	--	0,01744	0,05184	0,01604	0,00865
--	--	--	--	--	--	0,01753	0,05217	0,01614	0,00872
--	--	--	--	--	--	0,01761	0,05249	0,01623	0,0088
--	--	--	--	--	--	0,0177	0,05281	0,01633	0,00888
--	--	--	--	--	--	0,01778	0,05313	0,01642	0,00895
--	--	--	--	--	--	0,01786	0,05346	0,01652	0,00903
--	--	--	--	--	--	0,01795	0,05378	0,01661	0,00911
--	--	--	--	--	--	0,01803	0,05411	0,01671	0,00918
--	--	--	--	--	--	0,01812	0,05443	0,0168	0,00926
--	--	--	--	--	--	0,0182	0,05476	0,0169	0,00934
--	--	--	--	--	--	0,01829	0,05509	0,01699	0,00942
--	--	--	--	--	--	0,01837	0,05542	0,01708	0,0095
--	--	--	--	--	--	0,01845	0,05575	0,01718	0,00958
--	--	--	--	--	--	0,01854	0,05608	0,01727	0,00966
--	--	--	--	--	--	0,01862	0,05641	0,01737	0,00974
--	--	--	--	--	--	0,01871	0,05674	0,01746	0,00982
--	--	--	--	--	--	0,01879	0,05707	0,0175	0,00985
