Qz, A-1	Reflectivity data curve 1	Simulated fitting curve 1	Qz, A-1	Reflectivity data curve 1	Simulated fitting curve 2
0,09468	2010,87145	1487,49	0,09468	998,0143	906,30987
0,09539	1905,1465	1415,36599	0,09539	910,11485	846,57741
0,09611	1820,52075	1347,15807	0,09611	827,94875	790,69433
0,09682	1659,3424	1282,64562	0,09682	823,1516	738,42401
0,09753	1632,98525	1221,62303	0,09753	730,4785	689,54604
0,09824	1496,2539	1164,03762	0,09824	689,39545	643,96256
0,09895	1348,7251	1112,37278	0,09895	651,26415	603,52688
0,09966	1339,9208	1073,09838	0,09966	581,72785	573,11063
0,10109	1167,9393	962,32212	0,10109	513,98066	489,06308
0,10251	1045,25258	876,84329	0,10251	429,99285	426,14975
0,10394	914,23164	800,49955	0,10394	364,49898	371,63388
0,10536	826,69859	732,09806	0,10536	322,77631	324,34842
0,10678	725,64414	670,80833	0,10678	268,1991	283,43694
0,10821	648,34856	615,89052	0,10821	233,54717	248,14216
0,10963	580,81894	566,6847	0,10963	202,52135	217,79395
0,11105	505,28371	522,60149	0,11105	172,77873	191,7988
0,11248	466,74988	483,11399	0,11248	154,32942	169,6308
0,1139	416,30629	447,75063	0,1139	134,84133	150,82361
0,11533	370,59121	416,08895	0,11533	118,69842	134,96359
0,11675	334,60422	387,75012	0,11675	102,74102	121,68369
0,11817	311,73965	362,39421	0,11817	93,82478	110,65812
0,1196	282,44742	339,71586	0,1196	88,85362	101,59771
0,12102	254,47639	319,44064	0,12102	83,37871	94,24577
0,12244	240,83533	301,32171	0,12244	79,28516	88,37447
0,12387	224,09332	285,13693	0,12387	70,75102	83,78166
0,12529	210,83945	270,68625	0,12529	73,52473	80,28802
0,12671	201,82791	257,78947	0,12671	69,47664	77,7346
0,12814	191,23404	246,28417	0,12814	75,36156	75,98059
0,12956	185,22494	236,02391	0,12956	73,47012	74,90135
0,13099	176,39469	226,87661	0,13099	73,72476	74,38668
0,13241	177,52303	218,72313	0,13241	76,35825	74,33928
0,13383	170,44394	211,45599	0,13383	76,03945	74,67337
0,13526	162,39608	204,97819	0,13526	77,17182	75,31343
0,13668	163,86945	199,20222	0,13668	79,6308	76,19316
0,1381	164,04816	194,04911	0,1381	84,47814	77,25448
0,13953	164,78104	189,44764	0,13953	84,18047	78,44664
0,14095	167,57998	185,33356	0,14095	89,20668	79,72546
0,14237	165,1067	181,64894	0,14237	89,55959	81,05264
0,1438	168,21375	178,34157	0,1438	90,16138	82,39512
0,14522	165,00223	175,36443	0,14522	98,35493	83,7245
0,14665	170,83807	172,67519	0,14665	94,2449	85,01658
0,14807	166,67291	170,23577	0,14807	95,1095	86,2509
0,14949	168,67873	168,01197	0,14949	94,91041	87,4103
0,15092	165,53457	165,97304	0,15092	101,38578	88,4806
0,15234	172,90455	164,09146	0,15234	97,6252	89,45022
0,15376	169,07324	162,34256	0,15376	101,10921	90,30997
0,15519	172,98422	160,70429	0,15519	100,76978	91,05269
0,15661	166,45004	159,15699	0,15661	104,36158	91,67307
0,15803	172,25246	157,68312	0,15803	101,58838	92,16743
0,15946	170,89848	156,26714	0,15946	103,9021	92,5335
0,16088	174,1815	154,89526	0,16088	102,74646	92,77029
0,1623	175,69732	153,55531	0,1623	105,94378	92,87787
0,16373	174,3168	152,23658	0,16373	99,15122	92,85731
0,16515	173,11209	150,9297	0,16515	103,28329	92,71048
0,16657	170,50394	149,62648	0,16657	101,04884	92,43997
0,168	171,39764	148,31984	0,168	99,81296	92,049
0,16942	172,83029	147,0037	0,16942	97,66	91,54127
0,17085	172,02648	145,67284	0,17085	96,49486	90,92097
0,17227	172,96354	144,32289	0,17227	95,15182	90,19261
0,17369	167,94359	142,95018	0,17369	95,37284	89,36101
0,17512	167,31781	141,55172	0,17512	92,47155	88,43123
0,17654	165,95211	140,12512	0,17654	92,99547	87,4085
0,17796	167,47496	138,6685	0,17796	92,70835	86,2982
0,17939	166,10996	137,1805	0,17939	86,18628	85,10578
0,18081	163,79266	135,66016	0,18081	85,54615	83,83676
0,18223	164,35719	134,10693	0,18223	85,35985	82,49665
0,18366	158,49528	132,5206	0,18366	78,99108	81,09099
0,18508	157,68172	130,90128	0,18508	83,14048	79,62524
0,1865	155,00652	129,24932	0,1865	75,73392	78,10482
0,18793	155,12516	127,56536	0,18793	77,86148	76,53506
0,18935	148,34248	125,85022	0,18935	73,00024	74,92119
0,19077	148,67844	124,10493	0,19077	76,23512	73,26832
0,1922	145,7571	122,33066	0,1922	72,97663	71,58144
0,19362	139,26532	120,52874	0,19362	70,4323	69,86538
0,19504	138,95142	118,70062	0,19504	68,56417	68,12482
0,19647	139,58114	116,84785	0,19647	69,61064	66,36431
0,19789	136,0126	114,97206	0,19789	63,39513	64,5882
0,19931	131,39898	113,07497	0,19931	62,38479	62,80068
0,20074	130,1358	111,15834	0,20074	60,88138	61,00577
0,20216	125,53863	109,22398	0,20216	56,84244	59,2073
0,20358	127,44456	107,27374	0,20358	56,95107	57,40893
0,20501	123,14058	105,30948	0,20501	55,83047	55,61413
0,20643	119,75094	103,33308	0,20643	52,09633	53,8262
0,20785	114,01555	101,34644	0,20785	48,8042	52,04824
0,20928	117,262	99,35142	0,20928	50,92282	50,28318
0,2107	110,10276	97,34992	0,2107	46,74948	48,53377
0,21212	109,28848	95,34377	0,21212	44,22592	46,80258
0,21355	107,45934	93,33483	0,21355	44,04546	45,09202
0,21497	107,04034	91,32488	0,21497	41,54035	43,40432
0,21639	101,04909	89,31573	0,21639	39,67977	41,74153
0,21782	98,48341	87,30909	0,21782	36,84368	40,10555
0,21924	94,43058	85,30669	0,21924	36,24592	38,49811
0,22066	95,50352	83,31016	0,22066	34,19245	36,9208
0,22209	86,42303	81,32115	0,22209	33,1805	35,37505
0,22351	84,3868	79,3412	0,22351	30,6947	33,86215
0,22493	83,97825	77,37184	0,22493	29,63584	32,38322
0,22636	83,32476	75,41453	0,22636	29,82514	30,93928
0,22778	80,42991	73,4707	0,22778	25,90196	29,5312
0,2292	79,71049	71,5417	0,2292	27,0006	28,15973
0,23063	71,76838	69,62883	0,23063	23,67465	26,82549
0,23205	71,80858	67,73336	0,23205	23,53944	25,52898
0,23347	70,05826	65,85647	0,23347	22,92649	24,2706
0,2349	66,24517	63,99931	0,2349	20,92341	23,05065
0,23632	65,08558	62,16295	0,23632	20,30557	21,86931
0,23774	64,03984	60,34842	0,23774	19,95148	20,72667
0,23917	59,39159	58,55669	0,23917	17,13663	19,62273
0,24059	56,2476	56,78867	0,24059	17,46752	18,55742
0,24201	55,82706	55,04523	0,24201	16,64026	17,53056
0,24344	56,09122	53,32716	0,24344	14,72696	16,54191
0,24486	54,87875	51,63521	0,24486	13,87769	15,59116
0,24628	48,26064	49,97007	0,24628	13,20961	14,67793
0,24771	48,04238	48,33239	0,24771	13,29786	13,80178
0,24913	46,9558	46,72274	0,24913	12,04628	12,96222
0,25055	44,34954	45,14168	0,25055	10,69548	12,15867
0,25198	41,36246	43,58968	0,25198	10,18951	11,39055
0,2534	43,27765	42,06717	0,2534	10,85344	10,65722
0,25482	37,07608	40,57459	0,25482	9,97501	9,95799
0,25624	37,34467	39,19744	0,25624	8,84638	9,32987
0,26194	32,0232	33,56832	0,26194	6,00101	6,94509
0,26763	26,21296	28,52558	0,26763	5,12965	5,06889
0,27332	21,1466	23,98393	0,27332	3,9251	3,60519
