Mean molecule area A2/molecule	Surface pressure, mN/m	Mean molecule area A2/molecule	Cs-1, mN/m
247,37	0,558	247,37	-0,13906
247,32	0,553	247,32	-0,13669
247,27	0,555	247,27	-0,13402
247,23	0,558	247,23	-0,13104
247,17	0,559	247,17	-0,12776
247,13	0,56	247,13	-0,12416
247,07	0,558	247,07	-0,12023
247,02	0,559	247,02	-0,11606
246,95	0,571	246,95	-0,11172
246,91	0,572	246,91	-0,10729
246,85	0,577	246,85	-0,1029
246,81	0,558	246,81	-0,0986
246,75	0,56	246,75	-0,09438
246,71	0,56	246,71	-0,09019
246,66	0,558	246,66	-0,08595
246,6	0,553	246,6	-0,08162
246,56	0,559	246,56	-0,0772
246,5	0,563	246,5	-0,0727
246,46	0,563	246,46	-0,06809
246,41	0,56	246,41	-0,06334
246,37	0,56	246,37	-0,05843
246,31	0,559	246,31	-0,05332
246,27	0,561	246,27	-0,04802
246,21	0,563	246,21	-0,0426
246,17	0,564	246,17	-0,0371
246,12	0,555	246,12	-0,03155
246,06	0,555	246,06	-0,02596
246,05	0,554	246,05	-0,0203
245,98	0,553	245,98	-0,0145
245,91	0,557	245,91	-0,0085
245,87	0,559	245,87	-0,00223
245,81	0,559	245,81	0,00433
245,75	0,56	245,75	0,01122
245,71	0,558	245,71	0,01842
245,66	0,555	245,66	0,02585
245,6	0,553	245,6	0,03347
245,56	0,555	245,56	0,04123
245,5	0,556	245,5	0,04914
245,46	0,556	245,46	0,05718
245,41	0,557	245,41	0,06538
245,36	0,556	245,36	0,07385
245,31	0,552	245,31	0,08267
245,27	0,55	245,27	0,09185
245,21	0,56	245,21	0,10135
245,16	0,558	245,16	0,11113
245,11	0,56	245,11	0,12111
245,06	0,558	245,06	0,13119
245,02	0,558	245,02	0,14136
244,96	0,557	244,96	0,15172
244,92	0,553	244,92	0,1623
244,86	0,553	244,86	0,17309
244,82	0,558	244,82	0,18408
244,77	0,559	244,77	0,19518
244,73	0,558	244,73	0,20632
244,67	0,559	244,67	0,21748
244,62	0,561	244,62	0,22865
244,57	0,55	244,57	0,23983
244,52	0,547	244,52	0,25101
244,48	0,552	244,48	0,26221
244,42	0,554	244,42	0,27353
244,38	0,556	244,38	0,28508
244,34	0,554	244,34	0,29697
244,28	0,552	244,28	0,30934
244,23	0,554	244,23	0,32221
244,19	0,567	244,19	0,33548
244,13	0,565	244,13	0,34905
244,09	0,564	244,09	0,36282
244,03	0,564	244,03	0,37676
243,99	0,562	243,99	0,39087
243,94	0,561	243,94	0,40516
243,89	0,558	243,89	0,41967
243,84	0,559	243,84	0,43442
243,8	0,561	243,8	0,44942
243,74	0,566	243,74	0,46461
243,7	0,566	243,7	0,47999
243,65	0,564	243,65	0,49552
243,6	0,563	243,6	0,51114
243,55	0,559	243,55	0,52683
243,51	0,558	243,51	0,54257
243,45	0,557	243,45	0,5583
243,41	0,56	243,41	0,57399
243,35	0,558	243,35	0,58959
243,31	0,556	243,31	0,60505
243,26	0,565	243,26	0,62033
243,22	0,567	243,22	0,63547
243,16	0,567	243,16	0,65052
243,12	0,559	243,12	0,66554
243,06	0,554	243,06	0,68054
243,02	0,555	243,02	0,69559
242,97	0,552	242,97	0,71077
242,92	0,558	242,92	0,72613
242,88	0,559	242,88	0,74171
242,83	0,556	242,83	0,75748
242,78	0,559	242,78	0,77343
242,73	0,562	242,73	0,78952
242,69	0,563	242,69	0,80574
242,63	0,57	242,63	0,82209
242,59	0,573	242,59	0,83858
242,53	0,568	242,53	0,8552
242,49	0,562	242,49	0,8719
242,44	0,559	242,44	0,8886
242,4	0,56	242,4	0,90527
242,34	0,568	242,34	0,92192
242,3	0,57	242,3	0,93855
242,24	0,569	242,24	0,9552
242,2	0,567	242,2	0,97189
242,15	0,567	242,15	0,98859
242,1	0,566	242,1	1,0053
242,05	0,567	242,05	1,02196
242,01	0,567	242,01	1,03854
241,95	0,565	241,95	1,05501
241,91	0,561	241,91	1,07133
241,85	0,564	241,85	1,0875
241,81	0,566	241,81	1,1035
241,76	0,568	241,76	1,11935
241,71	0,576	241,71	1,13512
241,66	0,573	241,66	1,15087
241,62	0,576	241,62	1,16665
241,56	0,569	241,56	1,18246
241,52	0,567	241,52	1,19828
241,46	0,575	241,46	1,21407
241,42	0,573	241,42	1,22975
241,37	0,574	241,37	1,24526
241,33	0,575	241,33	1,26059
241,27	0,571	241,27	1,27581
241,23	0,572	241,23	1,29094
241,17	0,56	241,17	1,30604
241,12	0,556	241,12	1,32114
241,08	0,571	241,08	1,33625
241,02	0,573	241,02	1,35129
240,98	0,575	240,98	1,36621
240,94	0,577	240,94	1,38103
240,88	0,579	240,88	1,39577
240,84	0,571	240,84	1,41048
240,78	0,567	240,78	1,42518
240,74	0,57	240,74	1,43991
240,69	0,571	240,69	1,45463
240,65	0,571	240,65	1,46935
240,59	0,575	240,59	1,48408
240,55	0,578	240,55	1,49881
240,49	0,58	240,49	1,51347
240,45	0,581	240,45	1,52799
240,4	0,579	240,4	1,54226
240,36	0,577	240,36	1,55622
240,3	0,582	240,3	1,56984
240,26	0,57	240,26	1,58322
240,2	0,563	240,2	1,59643
240,15	0,572	240,15	1,60957
240,11	0,578	240,11	1,62265
240,05	0,581	240,05	1,63564
240,01	0,584	240,01	1,6485
239,96	0,586	239,96	1,66122
239,91	0,588	239,91	1,67379
239,86	0,567	239,86	1,68621
239,82	0,558	239,82	1,69846
239,76	0,582	239,76	1,71055
239,72	0,573	239,72	1,72247
239,66	0,562	239,66	1,73421
239,62	0,565	239,62	1,74581
239,56	0,57	239,56	1,75733
239,52	0,578	239,52	1,76886
239,47	0,58	239,47	1,78046
239,43	0,593	239,43	1,79212
239,37	0,585	239,37	1,80383
239,33	0,558	239,33	1,81555
239,27	0,568	239,27	1,82718
239,23	0,595	239,23	1,83865
239,18	0,587	239,18	1,84993
239,13	0,585	239,13	1,86101
239,08	0,587	239,08	1,87193
239,04	0,594	239,04	1,8827
238,98	0,594	238,98	1,89336
238,93	0,594	238,93	1,90394
238,89	0,592	238,89	1,91447
238,83	0,596	238,83	1,92491
238,8	0,567	238,8	1,93522
238,76	0,563	238,76	1,94536
238,71	0,569	238,71	1,95531
238,65	0,56	238,65	1,9651
238,61	0,58	238,61	1,97475
238,55	0,583	238,55	1,98437
238,51	0,583	238,51	1,99403
238,45	0,59	238,45	2,00376
238,41	0,592	238,41	2,01354
238,36	0,592	238,36	2,02332
238,32	0,576	238,32	2,03306
238,26	0,601	238,26	2,04273
238,22	0,593	238,22	2,0524
238,16	0,606	238,16	2,06215
238,12	0,595	238,12	2,07199
238,07	0,586	238,07	2,08197
238,03	0,583	238,03	2,09205
237,97	0,593	237,97	2,10219
237,93	0,598	237,93	2,11234
237,87	0,598	237,87	2,1225
237,83	0,611	237,83	2,13261
237,77	0,615	237,77	2,14259
237,73	0,607	237,73	2,15239
237,68	0,597	237,68	2,16198
237,64	0,602	237,64	2,17139
237,58	0,603	237,58	2,18065
237,54	0,588	237,54	2,18986
237,48	0,57	237,48	2,19907
237,44	0,575	237,44	2,20827
237,39	0,588	237,39	2,21745
237,33	0,596	237,33	2,2266
237,29	0,603	237,29	2,23565
237,23	0,605	237,23	2,24461
237,19	0,607	237,19	2,25349
237,13	0,607	237,13	2,26234
237,09	0,608	237,09	2,2712
237,05	0,595	237,05	2,28013
237	0,605	237	2,28918
236,94	0,612	236,94	2,29839
236,9	0,598	236,9	2,30774
236,85	0,599	236,85	2,31724
236,8	0,599	236,8	2,32686
236,75	0,591	236,75	2,33658
236,7	0,595	236,7	2,34635
236,65	0,6	236,65	2,35617
236,61	0,607	236,61	2,36601
236,55	0,613	236,55	2,37585
236,51	0,603	236,51	2,3857
236,46	0,601	236,46	2,39558
236,41	0,602	236,41	2,4055
236,36	0,605	236,36	2,41548
236,32	0,597	236,32	2,4255
236,26	0,599	236,26	2,43554
236,22	0,596	236,22	2,44558
236,17	0,592	236,17	2,45555
236,12	0,599	236,12	2,46544
236,07	0,599	236,07	2,47525
236,03	0,592	236,03	2,48497
235,97	0,593	235,97	2,49462
235,93	0,582	235,93	2,50425
235,87	0,592	235,87	2,51397
235,83	0,61	235,83	2,52384
235,78	0,602	235,78	2,5339
235,72	0,6	235,72	2,5441
235,68	0,605	235,68	2,55437
235,63	0,607	235,63	2,5646
235,58	0,601	235,58	2,57468
235,53	0,599	235,53	2,58453
235,48	0,599	235,48	2,59418
235,43	0,607	235,43	2,60368
235,39	0,605	235,39	2,61309
235,33	0,604	235,33	2,62252
235,29	0,603	235,29	2,63206
235,24	0,602	235,24	2,64172
235,19	0,603	235,19	2,65148
235,14	0,604	235,14	2,6613
235,1	0,605	235,1	2,67119
235,04	0,605	235,04	2,68111
235	0,607	235	2,69106
234,94	0,604	234,94	2,70108
234,9	0,611	234,9	2,71116
234,85	0,615	234,85	2,72131
234,8	0,618	234,8	2,73155
234,75	0,605	234,75	2,74188
234,71	0,602	234,71	2,75229
234,65	0,601	234,65	2,76272
234,61	0,61	234,61	2,77311
234,56	0,615	234,56	2,78336
234,51	0,615	234,51	2,79338
234,46	0,613	234,46	2,80319
234,41	0,611	234,41	2,81284
234,36	0,607	234,36	2,82241
234,32	0,614	234,32	2,83199
234,26	0,616	234,26	2,84162
234,22	0,615	234,22	2,85126
234,17	0,616	234,17	2,86089
234,11	0,616	234,11	2,87046
234,07	0,608	234,07	2,87988
234,01	0,61	234,01	2,88916
233,97	0,61	233,97	2,89831
233,92	0,611	233,92	2,90733
233,87	0,616	233,87	2,91627
233,82	0,626	233,82	2,92522
233,78	0,627	233,78	2,93425
233,72	0,619	233,72	2,94341
233,68	0,619	233,68	2,95276
233,62	0,625	233,62	2,96232
233,58	0,622	233,58	2,97208
233,53	0,622	233,53	2,982
233,49	0,62	233,49	2,9921
233,43	0,619	233,43	3,00233
233,39	0,618	233,39	3,01263
233,33	0,62	233,33	3,02295
233,29	0,62	233,29	3,03329
233,24	0,615	233,24	3,04358
233,2	0,612	233,2	3,0538
233,14	0,624	233,14	3,06396
233,1	0,626	233,1	3,0741
233,04	0,622	233,04	3,08426
233	0,621	233	3,09446
232,95	0,623	232,95	3,10472
232,9	0,627	232,9	3,11502
232,85	0,626	232,85	3,12535
232,81	0,619	232,81	3,13569
232,75	0,62	232,75	3,14607
232,71	0,623	232,71	3,15652
232,65	0,625	232,65	3,16706
232,61	0,625	232,61	3,17768
232,56	0,624	232,56	3,18838
232,53	0,624	232,53	3,19915
232,47	0,62	232,47	3,20998
232,43	0,631	232,43	3,2209
232,38	0,634	232,38	3,23193
232,34	0,63	232,34	3,24309
232,28	0,622	232,28	3,25444
232,24	0,622	232,24	3,266
232,18	0,633	232,18	3,27775
232,14	0,636	232,14	3,28968
232,08	0,64	232,08	3,30175
