AlphA. deg.	Ni Ka XRF, A.u. curve 4	Total external reflection, A.u.	AlphA. deg.	Ni Ka XRF, A.u. curve 2	AlphA. deg.	Exponential fitting curve 3	AlphA. deg.	Exponential fitting curve 5
--	--	--	--	--	0,02874	0,10065	0,02411	0,01298
--	--	--	--	--	0,02888	0,10123	0,02426	0,01309
--	--	--	--	--	0,02902	0,1018	0,02441	0,01321
--	--	--	--	--	0,02916	0,10238	0,02456	0,01332
--	--	--	--	--	0,0293	0,10296	0,02471	0,01344
--	--	--	--	--	0,02945	0,10353	0,02486	0,01356
--	--	--	--	--	0,02959	0,10411	0,02501	0,01367
--	--	--	--	--	0,02973	0,10469	0,02516	0,01379
--	--	--	--	--	0,02987	0,10527	0,02531	0,01391
--	--	--	--	--	0,03001	0,10586	0,02546	0,01403
--	--	--	--	--	0,03009	0,10617	0,02561	0,01414
--	--	--	--	--	0,03016	0,10644	0,02564	0,01416
--	--	--	--	--	0,0303	0,10702	0,02576	0,01426
--	--	--	--	--	0,03044	0,10761	0,02591	0,01438
--	--	--	--	--	0,03058	0,10819	0,02606	0,0145
--	--	--	--	--	0,03072	0,10878	0,02621	0,01462
--	--	--	--	--	0,03086	0,10936	0,02636	0,01475
--	--	--	--	--	0,03101	0,10995	0,02651	0,01487
--	--	--	--	--	0,03115	0,11054	0,02666	0,01499
--	--	--	--	--	0,03129	0,11113	0,02681	0,01511
--	--	--	--	--	0,03143	0,11172	0,02696	0,01524
--	--	--	--	--	0,03157	0,11231	0,02711	0,01536
--	--	--	--	--	0,03172	0,1129	0,02726	0,01549
--	--	--	--	--	0,03186	0,1135	0,02741	0,01561
--	--	--	--	--	0,032	0,11409	0,02756	0,01574
--	--	--	--	--	0,03214	0,11468	0,02771	0,01586
--	--	--	--	--	0,03228	0,11528	0,02786	0,01599
--	--	--	--	--	0,03243	0,11588	0,02801	0,01612
--	--	--	--	--	0,03257	0,11647	0,02816	0,01625
--	--	--	--	--	0,03266	0,11684	0,02831	0,01638
--	--	--	--	--	0,03271	0,11707	0,02846	0,01651
--	--	--	--	--	0,03285	0,11767	0,02861	0,01664
