AlphA. deg.	Ni Ka XRF, A.u. curve 2	Total external reflection, A.u.	AlphA. deg.	Ni Ka XRF, A.u. curve 4	AlphA. deg.	Exponential fitting curve 3	AlphA. deg.	Exponential fitting curve 5
--	--	--	--	--	0,01752	0,03114	0,02067	0,01622
--	--	--	--	--	0,01762	0,03137	0,02076	0,01634
--	--	--	--	--	0,01772	0,0316	0,02086	0,01645
--	--	--	--	--	0,01783	0,03184	0,02096	0,01657
--	--	--	--	--	0,01793	0,03208	0,02099	0,01662
--	--	--	--	--	0,01803	0,03231	0,02105	0,01669
--	--	--	--	--	0,01813	0,03255	0,02115	0,01681
--	--	--	--	--	0,01823	0,03279	0,02124	0,01693
--	--	--	--	--	0,01833	0,03303	0,02134	0,01705
--	--	--	--	--	0,01843	0,03327	0,02144	0,01717
--	--	--	--	--	0,01853	0,03351	0,02153	0,01729
--	--	--	--	--	0,01863	0,03375	0,02163	0,01741
--	--	--	--	--	0,01873	0,03399	0,02173	0,01753
--	--	--	--	--	0,01883	0,03423	0,02182	0,01766
--	--	--	--	--	0,01893	0,03448	0,02192	0,01778
--	--	--	--	--	0,01903	0,03472	0,02202	0,0179
--	--	--	--	--	0,01913	0,03497	0,02211	0,01803
--	--	--	--	--	0,01923	0,03521	0,02221	0,01815
--	--	--	--	--	0,01933	0,03546	0,0223	0,01828
--	--	--	--	--	0,01943	0,03571	0,0224	0,01841
--	--	--	--	--	0,01948	0,03583	0,0225	0,01853
--	--	--	--	--	0,01953	0,03596	0,0225	0,01854
--	--	--	--	--	0,01963	0,03621	0,02259	0,01866
--	--	--	--	--	0,01973	0,03646	0,02269	0,01879
--	--	--	--	--	0,01984	0,03671	0,02279	0,01892
--	--	--	--	--	0,01994	0,03696	0,02288	0,01904
--	--	--	--	--	0,02004	0,03721	0,02298	0,01917
--	--	--	--	--	0,02014	0,03746	0,02307	0,0193
--	--	--	--	--	0,02024	0,03772	0,02317	0,01943
--	--	--	--	--	0,02034	0,03797	0,02327	0,01957
--	--	--	--	--	0,02044	0,03823	0,02336	0,0197
--	--	--	--	--	0,02054	0,03849	0,02346	0,01983
--	--	--	--	--	0,02064	0,03874	0,02356	0,01996
--	--	--	--	--	0,02074	0,039	0,02365	0,0201
--	--	--	--	--	0,02084	0,03926	0,02375	0,02023
--	--	--	--	--	0,02094	0,03952	0,02384	0,02037
--	--	--	--	--	0,02104	0,03978	0,02394	0,0205
--	--	--	--	--	0,02114	0,04004	0,02404	0,02064
--	--	--	--	--	0,02124	0,04031	0,02413	0,02077
--	--	--	--	--	0,02129	0,04044	0,02423	0,02091
--	--	--	--	--	0,02134	0,04057	0,02433	0,02105
--	--	--	--	--	0,02144	0,04083	0,02442	0,02119
--	--	--	--	--	0,02154	0,0411	0,02452	0,02133
--	--	--	--	--	0,02164	0,04136	0,02461	0,02146
--	--	--	--	--	0,02175	0,04163	0,02461	0,02147
--	--	--	--	--	0,02185	0,0419	0,02471	0,02161
--	--	--	--	--	0,02195	0,04217	0,02481	0,02175
--	--	--	--	--	0,02205	0,04244	0,0249	0,02189
--	--	--	--	--	0,02215	0,04271	0,025	0,02203
--	--	--	--	--	0,02225	0,04298	0,0251	0,02217
--	--	--	--	--	0,02235	0,04325	0,02519	0,02232
--	--	--	--	--	0,02245	0,04352	0,02529	0,02246
--	--	--	--	--	0,02255	0,04379	0,02539	0,0226
--	--	--	--	--	0,02265	0,04407	0,02548	0,02275
--	--	--	--	--	0,02275	0,04434	0,02558	0,0229
--	--	--	--	--	0,0228	0,04448	0,02567	0,02304
--	--	--	--	--	0,02285	0,04462	0,02577	0,02319
--	--	--	--	--	0,02295	0,0449	0,02587	0,02334
--	--	--	--	--	0,02305	0,04518	0,02596	0,02349
--	--	--	--	--	0,02315	0,04546	0,02606	0,02363
--	--	--	--	--	0,02325	0,04574	0,02616	0,02378
--	--	--	--	--	0,02335	0,04602	0,02625	0,02393
--	--	--	--	--	0,02345	0,0463	0,02635	0,02409
--	--	--	--	--	0,02355	0,04658	0,02644	0,02424
--	--	--	--	--	0,02365	0,04686	0,02654	0,02439
--	--	--	--	--	0,02376	0,04715	0,02664	0,02454
--	--	--	--	--	0,02386	0,04743	0,02672	0,02468
--	--	--	--	--	0,02396	0,04772	0,02673	0,0247
--	--	--	--	--	0,02406	0,04801	0,02683	0,02485
--	--	--	--	--	0,02416	0,0483	0,02693	0,02501
--	--	--	--	--	0,02426	0,04858	0,02702	0,02516
--	--	--	--	--	0,02436	0,04887	0,02712	0,02532
--	--	--	--	--	0,02446	0,04917	0,02721	0,02548
--	--	--	--	--	0,02456	0,04946	0,02731	0,02563
--	--	--	--	--	0,02466	0,04975	0,02741	0,02579
--	--	--	--	--	0,02476	0,05004	0,0275	0,02595
--	--	--	--	--	0,02476	0,05005	0,0276	0,02611
--	--	--	--	--	0,02486	0,05034	0,0277	0,02627
--	--	--	--	--	0,02496	0,05063	0,02778	0,02641
--	--	--	--	--	0,02506	0,05093	0,02779	0,02643
--	--	--	--	--	0,02516	0,05123	0,02789	0,0266
--	--	--	--	--	0,02526	0,05153	0,02799	0,02676
--	--	--	--	--	0,02536	0,05183	0,02808	0,02692
--	--	--	--	--	0,02546	0,05213	0,02818	0,02709
--	--	--	--	--	0,02556	0,05243	0,02827	0,02725
--	--	--	--	--	0,02567	0,05273	0,02837	0,02742
--	--	--	--	--	0,02577	0,05303	0,02847	0,02758
--	--	--	--	--	0,02582	0,05319	0,02856	0,02775
--	--	--	--	--	0,02587	0,05334	0,02866	0,02792
--	--	--	--	--	0,02597	0,05364	0,02876	0,02809
--	--	--	--	--	0,02607	0,05395	0,02885	0,02826
--	--	--	--	--	0,02617	0,05426	0,02895	0,02843
--	--	--	--	--	0,02627	0,05456	0,02904	0,0286
--	--	--	--	--	0,02637	0,05487	0,02914	0,02877
--	--	--	--	--	0,02647	0,05518	0,02924	0,02894
--	--	--	--	--	0,02657	0,0555	0,02933	0,02911
--	--	--	--	--	0,02667	0,05581	0,02943	0,02929
--	--	--	--	--	0,02677	0,05612	0,02953	0,02946
--	--	--	--	--	0,02687	0,05644	0,02962	0,02964
--	--	--	--	--	0,02697	0,05675	0,02972	0,02981
--	--	--	--	--	0,02707	0,05707	0,02981	0,02999
--	--	--	--	--	0,02717	0,05738	0,02991	0,03017
--	--	--	--	--	0,02727	0,0577	0,03001	0,03035
--	--	--	--	--	0,02737	0,05802	0,03004	0,03041
--	--	--	--	--	0,02747	0,05834	0,0301	0,03053
--	--	--	--	--	0,02758	0,05866	0,0302	0,03071
--	--	--	--	--	0,02768	0,05899	0,0303	0,03089
--	--	--	--	--	0,02778	0,05931	0,03039	0,03107
--	--	--	--	--	0,02788	0,05963	0,03049	0,03125
--	--	--	--	--	0,02798	0,05996	0,03059	0,03144
--	--	--	--	--	0,02808	0,06029	0,03068	0,03162
--	--	--	--	--	0,02818	0,06061	0,03078	0,03181
--	--	--	--	--	0,02828	0,06094	0,03087	0,03199
--	--	--	--	--	0,02838	0,06127	0,03094	0,03213
--	--	--	--	--	0,02848	0,0616	0,03097	0,03218
--	--	--	--	--	0,02853	0,06177	0,03107	0,03237
--	--	--	--	--	0,02858	0,06194	0,03116	0,03255
--	--	--	--	--	0,02868	0,06227	0,03126	0,03274
--	--	--	--	--	0,02878	0,0626	0,03136	0,03293
--	--	--	--	--	0,02888	0,06294	0,03145	0,03312
--	--	--	--	--	0,02898	0,06327	0,03155	0,03331
--	--	--	--	--	0,02908	0,06361	0,03164	0,03351
--	--	--	--	--	0,02918	0,06395	0,03174	0,0337
--	--	--	--	--	0,02928	0,06429	0,03184	0,03389
--	--	--	--	--	0,02938	0,06463	0,03193	0,03409
--	--	--	--	--	0,02948	0,06497	0,03203	0,03429
--	--	--	--	--	0,02959	0,06531	0,03213	0,03448
--	--	--	--	--	0,02969	0,06566	0,03222	0,03468
--	--	--	--	--	0,02979	0,066	0,03232	0,03488
--	--	--	--	--	0,02989	0,06635	0,03241	0,03508
--	--	--	--	--	0,02999	0,0667	0,03251	0,03528
--	--	--	--	--	0,03004	0,06687	0,03261	0,03548
--	--	--	--	--	0,03009	0,06704	0,0327	0,03568
--	--	--	--	--	0,03019	0,06739	0,0328	0,03588
--	--	--	--	--	0,03029	0,06774	0,0329	0,03609
--	--	--	--	--	0,03039	0,0681	0,03299	0,03629
--	--	--	--	--	0,03049	0,06845	0,03309	0,0365
--	--	--	--	--	0,03059	0,0688	0,03318	0,0367
--	--	--	--	--	0,03069	0,06916	0,03328	0,03691
--	--	--	--	--	0,03079	0,06951	0,03338	0,03712
--	--	--	--	--	0,03089	0,06987	0,03347	0,03733
--	--	--	--	--	0,03094	0,07005	0,03357	0,03754
--	--	--	--	--	0,03099	0,07023	0,03366	0,03773
--	--	--	--	--	0,03109	0,07059	0,03367	0,03775
--	--	--	--	--	0,03119	0,07095	0,03376	0,03796
--	--	--	--	--	0,03129	0,07131	0,03386	0,03818
--	--	--	--	--	0,03139	0,07168	0,03396	0,03839
--	--	--	--	--	0,0315	0,07204	0,03405	0,0386
--	--	--	--	--	0,0316	0,07241	0,03415	0,03882
--	--	--	--	--	0,0317	0,07277	0,03424	0,03904
--	--	--	--	--	0,0318	0,07314	0,03434	0,03925
--	--	--	--	--	0,0319	0,07351	0,03444	0,03947
--	--	--	--	--	0,032	0,07388	0,03453	0,03969
--	--	--	--	--	0,0321	0,07425	0,03463	0,03991
--	--	--	--	--	0,0322	0,07462	0,03473	0,04013
--	--	--	--	--	0,0323	0,075	0,03482	0,04036
--	--	--	--	--	0,0324	0,07537	0,03492	0,04058
--	--	--	--	--	0,0325	0,07575	0,03501	0,04081
--	--	--	--	--	0,0326	0,07613	0,03501	0,04081
--	--	--	--	--	0,0327	0,07651	0,03511	0,04103
--	--	--	--	--	0,0328	0,07689	0,03521	0,04126
--	--	--	--	--	0,0329	0,07727	0,0353	0,04148
--	--	--	--	--	0,033	0,07765	0,0354	0,04171
--	--	--	--	--	0,03305	0,07785	0,0355	0,04194
--	--	--	--	--	0,0331	0,07803	0,03559	0,04217
--	--	--	--	--	0,0332	0,07842	0,03569	0,0424
--	--	--	--	--	0,0333	0,0788	0,03578	0,04264
--	--	--	--	--	0,0334	0,07919	0,03588	0,04287
--	--	--	--	--	0,03351	0,07958	0,03598	0,04311
--	--	--	--	--	0,03361	0,07997	0,03607	0,04334
--	--	--	--	--	0,03371	0,08036	0,03617	0,04358
--	--	--	--	--	0,03381	0,08075	0,03627	0,04382
--	--	--	--	--	0,03391	0,08115	0,03636	0,04405
--	--	--	--	--	0,03401	0,08154	0,03646	0,04429
--	--	--	--	--	0,03411	0,08194	0,03656	0,04454
--	--	--	--	--	0,03421	0,08234	0,03665	0,04478
--	--	--	--	--	0,03431	0,08274	0,03675	0,04502
--	--	--	--	--	0,03441	0,08314	0,03682	0,04521
--	--	--	--	--	0,03451	0,08354	0,03684	0,04526
--	--	--	--	--	0,03461	0,08394	0,03694	0,04551
--	--	--	--	--	0,03471	0,08434	0,03704	0,04576
--	--	--	--	--	0,03481	0,08475	0,03713	0,046
--	--	--	--	--	0,03491	0,08515	0,03723	0,04625
--	--	--	--	--	0,03501	0,08556	0,03733	0,0465
--	--	--	--	--	0,03511	0,08597	0,03742	0,04675
--	--	--	--	--	0,03517	0,08618	0,03752	0,047
--	--	--	--	--	0,03521	0,08638	0,03761	0,04726
--	--	--	--	--	0,03531	0,08679	0,03771	0,04751
--	--	--	--	--	0,03542	0,08721	0,03781	0,04776
--	--	--	--	--	0,03552	0,08762	0,0379	0,04802
--	--	--	--	--	0,03562	0,08804	0,038	0,04828
--	--	--	--	--	0,03572	0,08845	0,0381	0,04854
--	--	--	--	--	0,03582	0,08887	0,03819	0,0488
--	--	--	--	--	0,03592	0,08929	0,03829	0,04906
--	--	--	--	--	0,03592	0,0893	0,03838	0,04932
--	--	--	--	--	0,03602	0,08971	0,03848	0,04958
--	--	--	--	--	0,03612	0,09014	0,03848	0,04958
--	--	--	--	--	0,03622	0,09056	0,03858	0,04985
--	--	--	--	--	0,03632	0,09099	0,03867	0,05011
--	--	--	--	--	0,03642	0,09141	0,03877	0,05038
--	--	--	--	--	0,03652	0,09184	0,03887	0,05065
--	--	--	--	--	0,03662	0,09227	0,03896	0,05091
--	--	--	--	--	0,03672	0,0927	0,03906	0,05118
--	--	--	--	--	0,03682	0,09313	0,03915	0,05146
--	--	--	--	--	0,03692	0,09357	0,03925	0,05173
--	--	--	--	--	0,03702	0,094	0,03935	0,052
--	--	--	--	--	0,03712	0,09444	0,03944	0,05228
--	--	--	--	--	0,03722	0,09488	0,03954	0,05255
--	--	--	--	--	0,03733	0,09531	0,03964	0,05283
--	--	--	--	--	0,03743	0,09576	0,03973	0,05311
--	--	--	--	--	0,03753	0,0962	0,03983	0,05339
--	--	--	--	--	0,03763	0,09664	0,03993	0,05367
--	--	--	--	--	0,03773	0,09709	0,04002	0,05395
--	--	--	--	--	0,03783	0,09753	0,04012	0,05424
--	--	--	--	--	0,03793	0,09798	0,04014	0,0543
--	--	--	--	--	0,03803	0,09843	0,04021	0,05452
--	--	--	--	--	0,03813	0,09888	0,04031	0,05481
--	--	--	--	--	0,03823	0,09933	0,04041	0,05509
--	--	--	--	--	0,03833	0,09979	0,0405	0,05538
--	--	--	--	--	0,03843	0,10024	0,0406	0,05567
--	--	--	--	--	0,03853	0,1007	0,0407	0,05596
--	--	--	--	--	0,03863	0,10115	0,04079	0,05625
--	--	--	--	--	0,03873	0,10161	0,04089	0,05655
--	--	--	--	--	0,03883	0,10207	0,04098	0,05684
--	--	--	--	--	0,03893	0,10254	0,04108	0,05714
--	--	--	--	--	0,03893	0,10255	0,04118	0,05744
--	--	--	--	--	0,03903	0,103	0,04127	0,05774
--	--	--	--	--	0,03913	0,10347	0,04137	0,05804
--	--	--	--	--	0,03923	0,10393	0,04147	0,05834
--	--	--	--	--	0,03934	0,1044	0,04156	0,05864
--	--	--	--	--	0,03944	0,10487	0,04166	0,05894
--	--	--	--	--	0,03954	0,10534	0,04175	0,05925
--	--	--	--	--	0,03964	0,10582	0,04185	0,05956
--	--	--	--	--	0,03974	0,10629	0,04195	0,05987
--	--	--	--	--	0,03984	0,10677	0,04195	0,05987
--	--	--	--	--	0,03994	0,10724	0,04204	0,06017
--	--	--	--	--	0,04004	0,10772	0,04214	0,06049
--	--	--	--	--	0,04014	0,1082	0,04224	0,0608
--	--	--	--	--	0,04024	0,10869	0,04233	0,06111
