Wavelength, nm	Absorbance, a.u. - curve 1	Wavelength, nm	Absorbance, a.u. - curve 3	Wavelength, nm	Absorbance, a.u. - curve 2	Wavelength, nm	Absorbance, a.u. - curve 4
243,6088	-0,02269	243,6488	-0,05285	244,81244	-0,09113	357,5	-0,00441
244,21063	-0,01899	244,25063	-0,04947	245,41423	-0,0889	358	-0,00348
244,81244	-0,0156	244,85244	-0,04771	246,01599	-0,08924	358,5	-0,00297
245,41423	-0,01537	245,45423	-0,04747	246,61774	-0,0889	359	-0,00489
246,01599	-0,01593	246,05599	-0,04745	247,21944	-0,08735	359,5	-0,00445
246,61774	-0,0139	246,65774	-0,04714	247,82112	-0,08642	360	-0,00448
247,21944	-0,01419	247,25944	-0,04683	248,42279	-0,08686	360,5	-0,00528
247,82112	-0,01355	247,86112	-0,04745	249,02441	-0,08615	361	-0,00609
248,42279	-0,01379	248,46279	-0,04711	249,62602	-0,08688	361,5	-0,00602
249,02441	-0,01409	249,06441	-0,04751	250,2276	-0,08723	362	-0,00618
249,62602	-0,01461	249,66602	-0,04817	250,82916	-0,08658	362,5	-0,00621
250,2276	-0,01402	250,2676	-0,04809	251,43068	-0,08555	363	-0,00563
250,82916	-0,01442	250,86916	-0,04786	252,03218	-0,08547	363,5	-0,00602
251,43068	-0,0141	251,47068	-0,04736	252,63367	-0,08434	364	-0,00593
252,03218	-0,01426	252,07218	-0,04721	253,23511	-0,08395	364,5	-0,00554
252,63367	-0,01358	252,67367	-0,04676	253,83653	-0,08322	365	-0,00346
253,23511	-0,0136	253,27511	-0,04657	254,43793	-0,08291	365,5	-0,00529
253,83653	-0,01293	253,87653	-0,04647	255,03931	-0,08186	366	-0,00454
254,43793	-0,01313	254,47793	-0,04683	255,64064	-0,08138	366,5	-0,00563
255,03931	-0,01239	255,07931	-0,04641	256,24197	-0,08077	367	-0,00506
255,64064	-0,01225	255,68064	-0,0463	256,84326	-0,08041	367,5	-0,00563
256,24197	-0,01182	256,28197	-0,04606	257,44452	-0,0802	368	-0,00648
256,84326	-0,01198	256,88326	-0,04625	258,04575	-0,08002	368,5	-0,00584
257,44452	-0,01168	257,48452	-0,04625	258,64697	-0,07961	369	-0,00499
258,04575	-0,01229	258,08575	-0,04637	259,24814	-0,07944	369,5	-0,00453
258,64697	-0,012	258,68697	-0,04647	259,8493	-0,07888	370	-0,00409
259,24814	-0,01211	259,28814	-0,04653	260,45044	-0,07858	370,5	-0,00377
259,8493	-0,01196	259,8893	-0,04676	261,05154	-0,07798	371	-0,00306
260,45044	-0,01205	260,49044	-0,04693	261,65262	-0,07769	371,5	-0,00367
261,05154	-0,01178	261,09154	-0,04687	262,25369	-0,07736	372	-0,00404
261,65262	-0,01176	261,69262	-0,04683	262,85471	-0,077	372,5	-0,00444
262,25369	-0,01196	262,29369	-0,04683	263,45572	-0,07681	373	-0,00471
262,85471	-0,01205	262,89471	-0,04676	264,05667	-0,07693	373,5	-0,00381
263,45572	-0,01199	263,49572	-0,047	264,65762	-0,07664	374	-0,00325
264,05667	-0,01219	264,09667	-0,04732	265,25854	-0,07672	374,5	-0,00349
264,65762	-0,01207	264,69762	-0,0474	265,85944	-0,07666	375	-0,00383
265,25854	-0,01232	265,29854	-0,04768	266,46033	-0,07669	375,5	-0,00358
265,85944	-0,01245	265,89944	-0,04794	267,06116	-0,07608	376	-0,00288
266,46033	-0,01244	266,50033	-0,04814	267,66196	-0,07629	376,5	-0,00319
267,06116	-0,01226	267,10116	-0,04791	268,26276	-0,07597	377	-0,00282
267,66196	-0,01265	267,70196	-0,04831	268,86353	-0,07555	377,5	-0,00288
268,26276	-0,01246	268,30276	-0,04818	269,46423	-0,0752	378	-0,00351
268,86353	-0,01209	268,90353	-0,04799	270,06494	-0,07496	378,5	-0,00386
269,46423	-0,01171	269,50423	-0,04778	270,66565	-0,07455	379	-0,00515
270,06494	-0,01195	270,10494	-0,04776	271,2663	-0,07413	379,5	-0,00441
270,66565	-0,01162	270,70565	-0,04768	271,86691	-0,0738	380	-0,00444
271,2663	-0,01171	271,3063	-0,04781	272,46753	-0,0732	380,5	-0,00473
271,86691	-0,01171	271,90691	-0,0478	273,06808	-0,07274	381	-0,00393
272,46753	-0,01138	272,50753	-0,04745	273,66864	-0,07239	381,5	-0,005
273,06808	-0,01126	273,10808	-0,0473	274,26917	-0,07202	382	-0,00547
273,66864	-0,01135	273,70864	-0,0472	274,86966	-0,07157	382,5	-0,00563
274,26917	-0,01129	274,30917	-0,04724	275,47012	-0,07121	383	-0,00563
274,86966	-0,01137	274,90966	-0,04727	276,07056	-0,07087	383,5	-0,00651
275,47012	-0,01143	275,51012	-0,04758	276,67096	-0,0704	384	-0,00656
276,07056	-0,0115	276,11056	-0,04764	277,27136	-0,07024	384,5	-0,00702
276,67096	-0,01167	276,71096	-0,04784	277,8717	-0,06969	385	-0,0075
277,27136	-0,01178	277,31136	-0,04796	278,47205	-0,06908	385,5	-0,00807
277,8717	-0,01175	277,9117	-0,04808	279,07236	-0,06845	386	-0,0079
278,47205	-0,01177	278,51205	-0,048	279,67264	-0,06828	386,5	-0,00827
279,07236	-0,01178	279,11236	-0,04793	280,27289	-0,06783	387	-0,00885
279,67264	-0,01231	279,71264	-0,04841	280,87311	-0,06752	387,5	-0,0101
280,27289	-0,01249	280,31289	-0,04845	281,4733	-0,06706	388	-0,01033
280,87311	-0,01273	280,91311	-0,04878	282,07346	-0,06692	388,5	-0,01049
281,4733	-0,01297	281,5133	-0,04922	282,67361	-0,06638	389	-0,01129
282,07346	-0,01353	282,11346	-0,04977	283,27371	-0,06626	389,5	-0,01214
282,67361	-0,01356	282,71361	-0,04998	283,87381	-0,06575	390	-0,01318
283,27371	-0,014	283,31371	-0,0506	284,47388	-0,06555	390,5	-0,01384
283,87381	-0,01401	283,91381	-0,05075	285,07391	-0,06524	391	-0,0142
284,47388	-0,01448	284,51388	-0,05137	285,67392	-0,06531	391,5	-0,01535
285,07391	-0,01479	285,11391	-0,05184	286,2739	-0,0651	392	-0,01626
285,67392	-0,01545	285,71392	-0,05271	286,87384	-0,06488	392,5	-0,01689
286,2739	-0,01582	286,3139	-0,05329	287,47375	-0,06467	393	-0,01851
