AlphA. deg.	Ni Ka XRF, A.u. curve 2	Total external reflection, A.u.	AlphA. deg.	Ni Ka XRF, A.u. curve 4	AlphA. deg.	Exponential fitting curve 3	AlphA. deg.	Exponential fitting curve 5
--	--	--	--	--	0,01364	0,02098	0,01453	0,00749
--	--	--	--	--	0,01373	0,02116	0,01462	0,00756
--	--	--	--	--	0,01382	0,02133	0,01472	0,00763
--	--	--	--	--	0,01391	0,02151	0,01481	0,0077
--	--	--	--	--	0,014	0,02169	0,01491	0,00777
--	--	--	--	--	0,014	0,0217	0,015	0,00784
--	--	--	--	--	0,01409	0,02187	0,0151	0,00791
--	--	--	--	--	0,01418	0,02205	0,01519	0,00799
--	--	--	--	--	0,01427	0,02223	0,01529	0,00806
--	--	--	--	--	0,01436	0,02242	0,01538	0,00813
--	--	--	--	--	0,01444	0,0226	0,01548	0,0082
--	--	--	--	--	0,01453	0,02278	0,01557	0,00828
--	--	--	--	--	0,01462	0,02297	0,01567	0,00835
--	--	--	--	--	0,01471	0,02315	0,01576	0,00842
--	--	--	--	--	0,0148	0,02333	0,01585	0,0085
--	--	--	--	--	0,01489	0,02352	0,01595	0,00857
--	--	--	--	--	0,01498	0,02371	0,01604	0,00865
--	--	--	--	--	0,01507	0,02389	0,01614	0,00872
--	--	--	--	--	0,01516	0,02408	0,01623	0,0088
--	--	--	--	--	0,01525	0,02427	0,01633	0,00888
--	--	--	--	--	0,01534	0,02446	0,01642	0,00895
--	--	--	--	--	0,01543	0,02465	0,01652	0,00903
--	--	--	--	--	0,01552	0,02484	0,01661	0,00911
--	--	--	--	--	0,01561	0,02503	0,01671	0,00918
--	--	--	--	--	0,0157	0,02522	0,0168	0,00926
--	--	--	--	--	0,01576	0,02536	0,0169	0,00934
--	--	--	--	--	0,01578	0,02541	0,01699	0,00942
--	--	--	--	--	0,01587	0,0256	0,01708	0,0095
--	--	--	--	--	0,01596	0,0258	0,01718	0,00958
--	--	--	--	--	0,01605	0,02599	0,01727	0,00966
--	--	--	--	--	0,01614	0,02619	0,01737	0,00974
--	--	--	--	--	0,01623	0,02638	0,01746	0,00982
--	--	--	--	--	0,01632	0,02658	0,0175	0,00985
--	--	--	--	--	0,01641	0,02678	0,01756	0,0099
--	--	--	--	--	0,0165	0,02697	0,01765	0,00998
--	--	--	--	--	0,01659	0,02717	0,01775	0,01007
--	--	--	--	--	0,01668	0,02737	0,01784	0,01015
--	--	--	--	--	0,01677	0,02757	0,01794	0,01023
--	--	--	--	--	0,01686	0,02777	0,01803	0,01031
--	--	--	--	--	0,01695	0,02797	0,01812	0,0104
--	--	--	--	--	0,01704	0,02817	0,01822	0,01048
--	--	--	--	--	0,01712	0,02838	0,01831	0,01057
--	--	--	--	--	0,01721	0,02858	0,01841	0,01065
--	--	--	--	--	0,0173	0,02878	0,0185	0,01074
--	--	--	--	--	0,01739	0,02899	0,0186	0,01082
--	--	--	--	--	0,01748	0,02919	0,01869	0,01091
--	--	--	--	--	0,0175	0,02923	0,01879	0,011
--	--	--	--	--	0,01757	0,0294	0,01888	0,01108
--	--	--	--	--	0,01766	0,02961	0,01898	0,01117
--	--	--	--	--	0,01775	0,02981	0,01907	0,01126
--	--	--	--	--	0,01784	0,03002	0,01917	0,01135
--	--	--	--	--	0,01793	0,03023	0,01926	0,01144
--	--	--	--	--	0,01802	0,03044	0,01926	0,01144
--	--	--	--	--	0,01811	0,03065	0,01935	0,01153
--	--	--	--	--	0,0182	0,03086	0,01945	0,01162
--	--	--	--	--	0,01829	0,03107	0,01954	0,01171
--	--	--	--	--	0,01838	0,03129	0,01964	0,0118
--	--	--	--	--	0,01846	0,0315	0,01973	0,01189
--	--	--	--	--	0,01855	0,03171	0,01983	0,01198
--	--	--	--	--	0,01864	0,03193	0,01992	0,01207
--	--	--	--	--	0,01873	0,03214	0,02002	0,01216
--	--	--	--	--	0,01882	0,03236	0,02011	0,01226
--	--	--	--	--	0,01891	0,03258	0,02021	0,01235
--	--	--	--	--	0,019	0,0328	0,0203	0,01244
--	--	--	--	--	0,01909	0,03301	0,0204	0,01254
--	--	--	--	--	0,01918	0,03323	0,02049	0,01263
--	--	--	--	--	0,01926	0,03343	0,02058	0,01273
--	--	--	--	--	0,01927	0,03345	0,02068	0,01282
--	--	--	--	--	0,01936	0,03367	0,02077	0,01292
--	--	--	--	--	0,01945	0,0339	0,02087	0,01302
--	--	--	--	--	0,01954	0,03412	0,02096	0,01311
--	--	--	--	--	0,01963	0,03434	0,021	0,01315
--	--	--	--	--	0,01972	0,03457	0,02106	0,01321
--	--	--	--	--	0,0198	0,03479	0,02115	0,01331
--	--	--	--	--	0,01989	0,03502	0,02125	0,01341
--	--	--	--	--	0,01998	0,03524	0,02134	0,01351
--	--	--	--	--	0,02007	0,03547	0,02144	0,01361
--	--	--	--	--	0,02016	0,0357	0,02153	0,01371
--	--	--	--	--	0,02025	0,03593	0,02162	0,01381
--	--	--	--	--	0,02034	0,03615	0,02172	0,01391
--	--	--	--	--	0,02043	0,03639	0,02181	0,01401
--	--	--	--	--	0,02052	0,03662	0,02191	0,01411
--	--	--	--	--	0,02061	0,03685	0,022	0,01421
--	--	--	--	--	0,0207	0,03708	0,0221	0,01432
